sessionID,type,date
45161,training,August 23 2023
45162,training,August 24 2023
45163,training,August 25 2023
45164,training,August 26 2023
45165,training,August 27 2023
45167,training,August 29 2023
45168,training,August 30 2023
45170,training,September 1 2023
45171,training,September 2 2023
45174,game,September 5 2023
45176,training,September 7 2023
45178,game,September 9 2023
45180,training,September 11 2023
45182,training,September 13 2023
45186,game,September 17 2023
45188,game,September 19 2023
45190,training,September 21 2023
45192,game,September 23 2023
45193,game,September 24 2023
45196,game,September 27 2023
45197,training,September 28 2023
45199,game,September 30 2023
45202,game,October 3 2023
45204,training,October 5 2023
45206,game,October 7 2023
45207,game,October 8 2023
45210,training,October 11 2023
45211,training,October 12 2023
45212,training,October 13 2023
45214,game,October 15 2023
45217,training,October 18 2023
45218,training,October 19 2023
45220,game,October 21 2023
45223,game,October 24 2023
45224,training,October 25 2023
45227,game,October 28 2023
